('Chinua Achebe',         'chinua_achebe',      'chinua_achebe@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Peter Ackroyd',         'peter_ackroyd',      'peter_ackroyd@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Douglas Adams',         'douglas_adams',      'douglas_adams@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Chimamanda Ngozi Adichie',         'chimamanda_ngozi_adichie',                     'chimamanda_ngozi_adichie@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Aaron Akinyemi',        'aaron_akinyemi',     'aaron_akinyemi@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Alexandra Harris',      'alexandra_harris',   'alexandra_harris@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Monica Ali',            'monica_ali',      'monica_ali@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Dante Alighieri',       'dante_alighieri',    'dante_alighieri@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('Alistair Cooke',        'alistair_cooke',     'alistair_cooke@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Isabel Allende',        'isabel_allende',     'isabel_allende@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Kingsley Amis',         'kingsley_amis',      'kingsley_amis@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Martin Amis',           'martin_amis',      'martin_amis@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Maya Angelou',          'maya_angelou',      'maya_angelou@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Annie Proulx',          'annie_proulx',      'annie_proulx@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Jeffrey Archer',        'jeffrey_archer',     'jeffrey_archer@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Philip Ardagh',         'philip_ardagh',      'philip_ardagh@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Simon Armitage',        'simon_armitage',     'simon_armitage@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Isaac Asimov',          'isaac_asimov',      'isaac_asimov@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Åsne Seierstad',        'åsne_seierstad',     'åsne_seierstad@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),            
('Diana Athill',          'diana_athill',      'diana_athill@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Kate Atkinson',         'kate_atkinson',      'kate_atkinson@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
('Margaret Atwood',       'margaret_atwood',    'margaret_atwood@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),             
('WH Auden',              'wh_auden',      'wh_auden@example.heyhey.edu',  'https://webmedia.willamette.edu/system/assets/280bd9bc-76d5-4308-9d6b-addac8f0dfb7/square/pnca_280bd9bc-76d5-4308-9d6b-addac8f0dfb7_square.jpg'),           
